SITE ID,I or C,Change in tip length (cm),Change in tip length/day (cm),Change in base width (cm),Change in base width/day (cm),Change in tot tip width (cm),Change in tot tip width/day (cm),Change in tip weigth (g),Change in tip weigth/day (g),Change in apical tips count,Change in bladder count
VL,Control,2.9,0.063043478,0.1,,3.1,,1.62,0.035217391,5,0
VL,Control,2.6,0.056521739,0.1,,5,,1.84,0.04,8,0
VL,Control,2.7,0.058695652,-0.1,,10,,1.55,0.033695652,8,0
VL,Control,2.4,0.052173913,0,,7.7,,2.68,0.05826087,14,-2
VL,Control,2,0.043478261,-0.1,,6.1,,1.12,0.024347826,2,0
VL,Control,3.3,0.07173913,-0.3,,1.6,,2.23,0.048478261,6,0
VL,Control,1.7,0.036956522,-0.1,,4.4,,1.86,0.040434783,20,0
VL,Control,2.5,0.054347826,0,,4.3,,1.3,0.02826087,5,0
VL,Control,3.3,0.07173913,0,,4.5,,2.26,0.049130435,11,0
VL,Control,2.7,0.058695652,-0.1,,5.7,,1.87,0.040652174,6,0
VL,Control,5.5,0.119565217,0.3,,2.7,,1.66,0.036086957,10,2
VL,Control,3.5,0.076086957,0.1,,5.5,,2.21,0.048043478,17,-3
VL,Control,4.3,0.093478261,-0.4,,6.5,,2.16,0.046956522,17,0
VL,Control,5.2,0.113043478,0,,3.8,,2.7,0.058695652,10,1
VL,Control,3.4,0.073913043,-0.2,,2,,1.99,0.04326087,11,0
VL,Control,5.6,0.12173913,0,,8.8,,1.73,0.037608696,3,0
VL,Control,4.6,0.1,0.1,,3,,1.37,0.029782609,2,0
VL,Control,3.3,0.07173913,-0.1,,5.4,,1.97,0.042826087,2,0
VL,Control,4.4,0.095652174,-0.1,,2.7,,1.83,0.039782609,2,0
VL,Control,2.8,0.060869565,0,,8.3,,2.14,0.046521739,18,0
VL,Control,2.3,0.05,0,,3.7,,1.1,0.023913043,6,0
VL,Control,5.5,0.119565217,0.1,,3.5,,3.28,0.071304348,21,-2
VL,Control,5.3,0.115217391,0.2,,6.7,,1.14,0.024782609,7,0
VL,Control,3.2,0.069565217,-0.3,,2.6,,1.41,0.030652174,15,0
VL,Control,4.2,0.091304348,0,,7.9,,1.83,0.039782609,13,0
VL,Control,3.7,0.080434783,-0.1,,2.8,,1.93,0.041956522,14,0
VL,Control,3.3,0.07173913,-0.2,,5.1,,1.86,0.040434783,10,0
VL,Control,4,0.086956522,0.2,,7.7,,2,0.043478261,15,0
VL,Control,4.6,0.1,0.2,,5.1,,1.2,0.026086957,6,0
VL,Control,2.9,0.063043478,0.3,,4.8,,1.35,0.029347826,11,0
VL,Control,5.3,0.115217391,-0.3,,4.5,,1.31,0.028478261,5,0
VL,Control,5.3,0.115217391,0.2,,8.7,,2.38,0.05173913,18,0
VL,Control,6,0.130434783,0.1,,5.7,,1.24,0.026956522,16,0
VL,Control,4.4,0.095652174,0,,4.5,,1.12,0.024347826,10,0
VL,Control,4.3,0.093478261,0,,4.1,,0.99,0.021521739,5,0
VL,Control,2.8,0.060869565,0.2,,6.1,,1.46,0.03173913,14,0
VL,Control,3.6,0.07826087,0.3,,4.8,,1.22,0.026521739,8,0
VL,Control,3,0.065217391,0.1,,4.5,,0.69,0.015,4,0
VL,Control,2.7,0.058695652,0.1,,2.4,,1.14,0.024782609,19,0
VL,Control,2.6,0.056521739,0,,5.7,,1.29,0.028043478,8,0
VL,Control,4.9,0.106521739,0.4,,7.1,,1.59,0.034565217,12,-1
VL,Control,3.9,0.084782609,0.2,,4.9,,1.26,0.027391304,8,0
VL,Control,4.5,0.097826087,0.1,,7.7,,1.26,0.027391304,7,0
VL,Control,2.8,0.060869565,0.1,,2.9,,1.42,0.030869565,18,0
VL,Control,3.3,0.07173913,0.4,,6.3,,1.71,0.037173913,29,0
VL,Control,3.8,0.082608696,-0.2,,5.9,,1.45,0.031521739,14,0
JO,Control,4.3,0.093478261,0,,5.5,,1.78,0.038695652,11,0
JO,Control,3.7,0.080434783,0.1,,2.6,,1.94,0.042173913,4,0
JO,Control,4,0.086956522,0.2,,4,,2.2,0.047826087,6,1
JO,Control,4.3,0.093478261,0,,4.7,,2.02,0.043913043,8,0
JO,Control,3.6,0.07826087,0,,3,,2.5,0.054347826,8,0
JO,Control,4.3,0.093478261,0,,7.4,,1.88,0.040869565,7,0
JO,Control,4.5,0.097826087,0.2,,2,,2.84,0.06173913,19,0
JO,Control,3.6,0.07826087,-0.4,,1.1,,2.4,0.052173913,7,0
JO,Control,2.9,0.063043478,0.1,,2.7,,1.81,0.039347826,7,0
JO,Control,4.4,0.095652174,0,,3.5,,1.66,0.036086957,4,0
JO,Control,4.6,0.1,1.1,,4.4,,1.63,0.035434783,12,-4
JO,Control,4.8,0.104347826,0.8,,5,,1.54,0.033478261,8,0
JO,Control,3.9,0.084782609,0.2,,6.7,,1.78,0.038695652,14,-5
JO,Control,5.5,0.119565217,0.7,,4.7,,2.12,0.046086957,8,0
JO,Control,5.4,0.117391304,-0.1,,2.3,,2.41,0.052391304,10,0
JO,Control,4.1,0.089130435,0.4,,3.4,,1.4,0.030434783,9,0
JO,Control,3.9,0.084782609,0.2,,6.2,,2.4,0.052173913,5,0
JO,Control,5.3,0.115217391,0.1,,1.3,,1.92,0.04173913,2,0
JO,Control,4.9,0.106521739,0.1,,0.5,,1.68,0.036521739,9,-1
JO,Control,4.4,0.095652174,-0.1,,5.8,,2.07,0.045,5,-1
JO,Control,3.9,0.084782609,0,,2.5,,2.22,0.04826087,4,0
JO,Control,3.3,0.07173913,-0.2,,2.2,,1.13,0.024565217,10,0
JO,Control,5.3,0.115217391,0.4,,5.2,,1.61,0.035,12,0
JO,Control,5.1,0.110869565,0.3,,4.6,,0.84,0.01826087,4,0
JO,Control,3.9,0.084782609,0.1,,5.6,,1.76,0.03826087,14,0
JO,Control,4.3,0.093478261,0.2,,3.8,,1.13,0.024565217,12,0
JO,Control,3.9,0.084782609,0.5,,5.1,,1.1,0.023913043,6,0
JO,Control,3.3,0.07173913,0.5,,4.1,,1.18,0.025652174,9,0
JO,Control,4.5,0.097826087,0.2,,2.6,,1.06,0.023043478,6,0
JO,Control,4.5,0.097826087,0.6,,4.9,,0.98,0.021304348,6,0
JO,Control,5.5,0.119565217,0.3,,6.5,,2.01,0.043695652,15,0
JO,Control,5,0.108695652,0.1,,4.9,,1.12,0.024347826,8,0
JO,Control,4,0.086956522,0.3,,6.2,,1.23,0.02673913,9,0
JO,Control,4.4,0.095652174,0.5,,7.1,,1.77,0.038478261,8,0
JO,Control,4.4,0.095652174,0.3,,2.4,,1.22,0.026521739,9,0
JO,Control,2.2,0.047826087,0.1,,3.3,,0.52,0.011304348,6,0
JO,Control,3.6,0.07826087,-0.1,,3.5,,0.63,0.013695652,5,0
JO,Control,4,0.086956522,0.1,,2.8,,0.67,0.014565217,3,0
JO,Control,3.7,0.080434783,0,,4.1,,1.66,0.036086957,14,0
JO,Control,4.3,0.093478261,0.5,,5.3,,1.82,0.039565217,14,0
JO,Control,3.5,0.076086957,0.1,,3.9,,1.69,0.03673913,17,0
JO,Control,3,0.065217391,0.1,,3.3,,1.12,0.024347826,15,0
JO,Control,3.4,0.073913043,0,,1.1,,1.23,0.02673913,21,0
JO,Control,3.2,0.069565217,0,,4.3,,1.92,0.04173913,29,0
